"Back","Back "
"Zip/Postal Code","Zip Code"
"postcode","zip code"
"Postcode","Zip Code"
"Postal Code","Zip Code"
"deliveryAddress > postcode","deliveryAddress > zip code"
"orderAddress > postcode", "orderAddress > zip code"
"quoteDeliveryAddress > postcode","quoteDeliveryAddress > zip code"
"Invalid country %1 in postcode section","Invalid country %1 in zip code section"
"Please enter the zip/postal code.", "Please enter the zip code."
"P - Postal codes match", "P - Zipcodes match"
"D - Address & postal codes match", "D - Address & zipcodes match"
"F - International Transaction: Address and postal code match","F - International Transaction: Address and zipcode match"
"M - Address & postal codes Match", "M - Address & zipcodes Match"
